K Thermocouple Lookup Table		
Deg. C	mV	uV
1358	54.41100	54411
1359	54.44500	54445
1360	54.47900	54479
1361	54.51300	54513
1362	54.54700	54547
1363	54.58100	54581
1364	54.61500	54615
1365	54.64900	54649
1366	54.68300	54683
1367	54.71700	54717
1368	54.75100	54751
1369	54.78500	54785
1370	54.81900	54819
1371	54.85200	54852
1372	54.88600	54886
