K Thermocouple Lookup Table		
Deg. C	mV	uV
319	12.99800	12998
320	13.04000	13040
321	13.08100	13081
322	13.12300	13123
323	13.16500	13165
324	13.20600	13206
325	13.24800	13248
326	13.29000	13290
327	13.33100	13331
328	13.37300	13373
329	13.41500	13415
330	13.45700	13457
331	13.49800	13498
332	13.54000	13540
333	13.58200	13582
334	13.62400	13624
335	13.66500	13665
336	13.70700	13707
337	13.74900	13749
338	13.79100	13791
339	13.83300	13833
340	13.87400	13874
341	13.91600	13916
342	13.95800	13958
343	14.00000	14000
344	14.04200	14042
345	14.08400	14084
346	14.12600	14126
347	14.16700	14167
348	14.20900	14209
349	14.25100	14251
350	14.29300	14293
351	14.33500	14335
352	14.37700	14377
353	14.41900	14419
354	14.46100	14461
355	14.50300	14503
356	14.54500	14545
357	14.58700	14587
358	14.62900	14629
359	14.67100	14671
360	14.71300	14713
361	14.75500	14755
362	14.79700	14797
363	14.83900	14839
364	14.88100	14881
365	14.92300	14923
366	14.96500	14965
367	15.00700	15007
368	15.04900	15049
369	15.09100	15091
370	15.13300	15133
371	15.17500	15175
372	15.21700	15217
373	15.25900	15259
374	15.30100	15301
375	15.34300	15343
376	15.38500	15385
377	15.42700	15427
378	15.46900	15469
379	15.51100	15511
380	15.55400	15554
381	15.59600	15596
382	15.63800	15638
383	15.68000	15680
384	15.72200	15722
385	15.76400	15764
386	15.80600	15806
387	15.84900	15849
388	15.89100	15891
389	15.93300	15933
390	15.97500	15975
391	16.01700	16017
392	16.05900	16059
393	16.10200	16102
394	16.14400	16144
395	16.18600	16186
396	16.22800	16228
397	16.27000	16270
398	16.31300	16313
399	16.35500	16355
400	16.39700	16397
401	16.43900	16439
402	16.48200	16482
403	16.52400	16524
404	16.56600	16566
405	16.60800	16608
406	16.65100	16651
407	16.69300	16693
408	16.73500	16735
409	16.77800	16778
410	16.82000	16820
411	16.86200	16862
412	16.90400	16904
413	16.94700	16947
414	16.98900	16989
415	17.03100	17031
416	17.07400	17074
417	17.11600	17116
418	17.15800	17158
419	17.20100	17201
420	17.24300	17243
421	17.28500	17285
422	17.32800	17328
423	17.37000	17370
424	17.41300	17413
425	17.45500	17455
426	17.49700	17497
427	17.54000	17540
428	17.58200	17582
429	17.62400	17624
430	17.66700	17667
431	17.70900	17709
432	17.75200	17752
433	17.79400	17794
434	17.83700	17837
435	17.87900	17879
436	17.92100	17921
437	17.96400	17964
438	18.00600	18006
439	18.04900	18049
440	18.09100	18091
441	18.13400	18134
442	18.17600	18176
443	18.21800	18218
444	18.26100	18261
445	18.30300	18303
446	18.34600	18346
447	18.38800	18388
448	18.43100	18431
449	18.47300	18473
450	18.51600	18516
451	18.55800	18558
452	18.60100	18601
453	18.64300	18643
454	18.68600	18686
455	18.72800	18728
456	18.77100	18771
457	18.81300	18813
458	18.85600	18856
459	18.89800	18898
460	18.94100	18941
461	18.98300	18983
462	19.02600	19026
463	19.06800	19068
464	19.11100	19111
465	19.15400	19154
466	19.19600	19196
467	19.23900	19239
468	19.28100	19281
469	19.32400	19324
470	19.36600	19366
471	19.40900	19409
472	19.45100	19451
473	19.49400	19494
474	19.53700	19537
475	19.57900	19579
476	19.62200	19622
477	19.66400	19664
478	19.70700	19707
479	19.75000	19750
480	19.79200	19792
481	19.83500	19835
482	19.87700	19877
483	19.92000	19920
484	19.96200	19962
485	20.00500	20005
486	20.04800	20048
487	20.09000	20090
488	20.13300	20133
489	20.17500	20175
490	20.21800	20218
491	20.26100	20261
492	20.30300	20303
493	20.34600	20346
494	20.38900	20389
495	20.43100	20431
496	20.47400	20474
497	20.51600	20516
498	20.55900	20559
499	20.60200	20602
500	20.64400	20644
501	20.68700	20687
502	20.73000	20730
503	20.77200	20772
504	20.81500	20815
505	20.85700	20857
506	20.90000	20900
507	20.94300	20943
508	20.98500	20985
509	21.02800	21028
510	21.07100	21071
511	21.11300	21113
512	21.15600	21156
513	21.19900	21199
514	21.24100	21241
515	21.28400	21284
516	21.32600	21326
517	21.36900	21369
518	21.41200	21412
519	21.45400	21454
520	21.49700	21497
521	21.54000	21540
522	21.58200	21582
523	21.62500	21625
524	21.66800	21668
525	21.71000	21710
526	21.75300	21753
527	21.79600	21796
528	21.83800	21838
529	21.88100	21881
530	21.92400	21924
531	21.96600	21966
532	22.00900	22009
533	22.05200	22052
534	22.09400	22094
535	22.13700	22137
536	22.17900	22179
537	22.22200	22222
538	22.26500	22265
539	22.30700	22307
540	22.35000	22350
541	22.39300	22393
542	22.43500	22435
543	22.47800	22478
544	22.52100	22521
545	22.56300	22563
546	22.60600	22606
547	22.64900	22649
548	22.69100	22691
549	22.73400	22734
550	22.77600	22776
551	22.81900	22819
552	22.86200	22862
553	22.90400	22904
554	22.94700	22947
555	22.99000	22990
556	23.03200	23032
557	23.07500	23075
558	23.11700	23117
559	23.16000	23160
560	23.20300	23203
561	23.24500	23245
